"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","cons.price.idx","cons.conf.idx","nr.employed","y"
"13170",24,"services","single","professional.course","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"27864",60,"management","single","university.degree","no","yes","yes","cellular","mar","wed",1,999,0,"nonexistent",92.843,-50,5099.1,"yes"
"41143",43,"admin.","divorced","university.degree","no","yes","no","cellular","nov","fri",4,999,2,"failure",94.767,-50.8,4963.6,"yes"
"8161",41,"management","married","professional.course","no","no","no","telephone","jun","tue",4,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"35331",29,"admin.","single","high.school","no","no","no","cellular","may","fri",3,999,1,"failure",92.893,-46.2,5099.1,"no"
"12019",39,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"5773",35,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"37413",37,"blue-collar","single","professional.course","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",92.201,-31.4,5076.2,"no"
"31874",36,"blue-collar","married","basic.9y","no","no","no","cellular","may","thu",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"12527",47,"admin.","divorced","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"31950",44,"services","married","professional.course","no","yes","no","cellular","may","thu",2,999,1,"failure",92.893,-46.2,5099.1,"no"
"35983",29,"technician","single","university.degree","no","no","no","cellular","may","mon",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"14169",39,"admin.","married","university.degree","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"6226",40,"blue-collar","married","basic.6y","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"7344",33,"blue-collar","single","basic.9y","no","yes","yes","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"24895",48,"services","married","high.school","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"4360",27,"admin.","married","high.school","no","no","yes","telephone","may","tue",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10387",36,"admin.","single","university.degree","no","yes","no","telephone","jun","mon",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"5393",31,"admin.","single","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"34771",43,"blue-collar","married","basic.4y","no","yes","no","cellular","may","thu",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"33066",29,"technician","single","basic.9y","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"29545",40,"blue-collar","married","basic.6y","no","no","no","cellular","apr","mon",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"27191",50,"admin.","married","university.degree","no","yes","yes","cellular","nov","fri",2,999,1,"failure",93.2,-42,5195.8,"no"
"6960",28,"entrepreneur","married","basic.9y","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"yes"
"33929",28,"admin.","married","high.school","no","yes","no","cellular","may","wed",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"7310",50,"blue-collar","single","basic.4y","no","no","no","telephone","may","thu",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"15013",26,"services","single","high.school","no","no","yes","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"37436",29,"blue-collar","single","high.school","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",92.201,-31.4,5076.2,"no"
"32429",31,"blue-collar","married","basic.6y","no","no","no","cellular","may","fri",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"6929",45,"blue-collar","married","illiterate","no","no","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10885",41,"admin.","divorced","high.school","no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"30969",45,"admin.","single","high.school","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"40043",46,"admin.","married","high.school","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",94.215,-40.3,4991.6,"yes"
"24767",54,"admin.","single","university.degree","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"4628",39,"unemployed","married","university.degree","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"25137",32,"entrepreneur","married","basic.9y","no","no","no","cellular","nov","tue",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"20510",35,"management","married","university.degree","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"9429",51,"self-employed","married","university.degree","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"2167",56,"admin.","married","high.school","no","yes","no","telephone","may","mon",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"18560",39,"management","married","high.school","no","no","yes","cellular","jul","thu",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"5394",45,"blue-collar","married","illiterate","no","no","yes","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"4272",43,"admin.","married","university.degree","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"40730",52,"admin.","married","professional.course","no","no","yes","cellular","sep","wed",3,999,0,"nonexistent",94.199,-37.5,4963.6,"yes"
"21617",31,"management","married","university.degree","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"1613",38,"blue-collar","married","basic.4y","no","yes","yes","telephone","may","fri",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"8759",34,"management","married","university.degree","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"16542",39,"services","married","university.degree","no","yes","yes","cellular","jul","wed",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"19017",35,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"5477",49,"management","married","university.degree","no","yes","no","telephone","may","fri",9,999,0,"nonexistent",93.994,-36.4,5191,"no"
"40083",32,"admin.","single","university.degree","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",94.215,-40.3,4991.6,"no"
"4633",36,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"7341",41,"blue-collar","married","basic.9y","no","no","no","telephone","may","fri",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"20785",33,"technician","married","professional.course","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"18232",37,"admin.","married","university.degree","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"10325",34,"blue-collar","married","basic.9y","no","no","no","telephone","jun","mon",8,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"13291",32,"admin.","single","university.degree","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"3511",35,"blue-collar","married","basic.4y","no","no","no","telephone","may","thu",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"22283",50,"admin.","married","university.degree","no","yes","yes","cellular","aug","thu",4,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"16318",26,"admin.","single","university.degree","no","yes","no","cellular","jul","tue",5,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"9237",48,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","fri",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"8990",45,"technician","married","professional.course","no","no","no","telephone","jun","thu",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"22337",55,"blue-collar","married","basic.9y","no","yes","no","cellular","aug","thu",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"38442",30,"admin.","single","university.degree","no","no","yes","cellular","oct","thu",1,999,1,"failure",92.431,-26.9,5017.5,"no"
"6156",53,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"9924",49,"technician","divorced","high.school","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"19779",46,"entrepreneur","married","basic.9y","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"8633",31,"admin.","married","university.degree","no","yes","no","telephone","jun","wed",6,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"32324",32,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"34883",29,"admin.","married","basic.6y","no","yes","no","cellular","may","fri",6,999,1,"failure",92.893,-46.2,5099.1,"no"
"16775",50,"entrepreneur","married","basic.9y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"7648",33,"self-employed","single","basic.4y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"667",47,"admin.","divorced","university.degree","no","yes","no","telephone","may","tue",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"11440",38,"admin.","single","basic.9y","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"36928",47,"admin.","married","university.degree","no","yes","yes","cellular","jun","tue",1,999,0,"nonexistent",92.963,-40.8,5076.2,"no"
"29625",53,"housemaid","married","basic.6y","no","yes","no","cellular","apr","mon",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"17829",55,"retired","married","high.school","no","yes","yes","cellular","jul","tue",3,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"6714",28,"services","single","high.school","no","no","no","telephone","may","wed",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"31545",50,"blue-collar","married","professional.course","no","yes","no","cellular","may","thu",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"30692",37,"admin.","divorced","high.school","no","no","yes","cellular","may","tue",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"2278",34,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"39462",68,"retired","married","basic.4y","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",93.749,-34.6,5008.7,"no"
"38831",55,"blue-collar","married","basic.4y","no","no","no","cellular","nov","fri",2,999,0,"nonexistent",92.649,-30.1,5017.5,"yes"
"35804",32,"admin.","married","university.degree","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"40704",71,"retired","married","high.school","no","no","no","cellular","sep","mon",1,999,0,"nonexistent",94.199,-37.5,4963.6,"yes"
"40419",59,"retired","married","professional.course","no","no","no","cellular","aug","fri",3,3,1,"success",94.027,-38.3,4991.6,"yes"
"13838",29,"technician","married","university.degree","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"11939",25,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","mon",5,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"31303",49,"admin.","single","basic.6y","no","no","no","cellular","may","wed",2,999,1,"failure",92.893,-46.2,5099.1,"no"
"12950",29,"admin.","single","high.school","no","yes","no","cellular","jul","tue",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"37182",37,"admin.","married","university.degree","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",92.201,-31.4,5076.2,"no"
"6544",44,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"39848",89,"retired","divorced","basic.4y","no","no","no","cellular","jun","mon",1,999,0,"nonexistent",94.055,-39.8,4991.6,"yes"
"19183",48,"housemaid","married","basic.4y","no","yes","yes","cellular","aug","tue",4,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"3125",43,"admin.","married","high.school","no","yes","yes","telephone","may","thu",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"11191",42,"services","married","high.school","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"29352",35,"blue-collar","married","professional.course","no","no","no","cellular","apr","fri",2,999,1,"failure",93.075,-47.1,5099.1,"no"
"36040",29,"self-employed","married","university.degree","no","no","no","cellular","may","tue",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"24489",32,"blue-collar","married","high.school","no","yes","no","telephone","nov","mon",1,999,0,"nonexistent",93.2,-42,5195.8,"yes"
"2987",44,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"17359",34,"admin.","married","high.school","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"20473",44,"services","married","high.school","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"6495",35,"blue-collar","divorced","basic.4y","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"813",43,"blue-collar","married","high.school","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"30580",35,"admin.","married","high.school","no","yes","yes","telephone","may","mon",10,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"39722",36,"technician","divorced","professional.course","no","yes","no","cellular","may","mon",7,999,0,"nonexistent",93.876,-40,5008.7,"no"
"29917",37,"blue-collar","single","professional.course","no","yes","no","cellular","apr","mon",5,999,1,"failure",93.075,-47.1,5099.1,"no"
"33732",34,"blue-collar","single","high.school","no","yes","no","cellular","may","wed",1,10,1,"success",92.893,-46.2,5099.1,"no"
"7616",54,"management","married","basic.9y","no","yes","no","telephone","may","fri",5,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10481",34,"services","married","high.school","no","no","yes","telephone","jun","tue",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"9799",37,"blue-collar","divorced","basic.9y","no","no","no","telephone","jun","wed",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"35125",37,"services","married","high.school","no","yes","no","cellular","may","fri",2,999,1,"failure",92.893,-46.2,5099.1,"no"
"29635",37,"technician","single","professional.course","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"12170",58,"management","married","university.degree","no","no","no","telephone","jul","tue",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"29287",40,"housemaid","married","basic.6y","no","yes","yes","cellular","apr","fri",2,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"11804",23,"blue-collar","single","basic.4y","no","yes","no","telephone","jun","fri",10,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"35545",33,"admin.","single","professional.course","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"36408",59,"admin.","married","professional.course","no","no","no","cellular","jun","tue",1,999,0,"nonexistent",92.963,-40.8,5076.2,"yes"
"28537",56,"entrepreneur","married","basic.9y","no","yes","no","cellular","apr","wed",12,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"30093",28,"unemployed","single","high.school","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"37393",26,"student","single","basic.9y","no","no","no","telephone","aug","wed",1,999,0,"nonexistent",92.201,-31.4,5076.2,"no"
"31958",44,"technician","divorced","professional.course","no","yes","no","cellular","may","thu",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"14554",36,"blue-collar","married","basic.4y","no","no","no","cellular","jul","tue",3,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"20182",39,"technician","married","high.school","no","no","no","cellular","aug","mon",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"13922",39,"services","married","high.school","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"31955",36,"blue-collar","married","basic.6y","no","no","no","cellular","may","thu",2,999,1,"failure",92.893,-46.2,5099.1,"no"
"26646",30,"admin.","married","university.degree","no","yes","no","cellular","nov","thu",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"13987",32,"technician","married","professional.course","no","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"34534",26,"blue-collar","single","basic.9y","no","no","no","cellular","may","thu",2,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"28011",54,"blue-collar","married","professional.course","no","no","no","cellular","apr","thu",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"1464",41,"self-employed","single","university.degree","no","no","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"27175",57,"admin.","divorced","university.degree","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",93.2,-42,5195.8,"no"
"34203",51,"blue-collar","married","basic.4y","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"8299",25,"admin.","married","university.degree","no","yes","no","telephone","jun","tue",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"39319",39,"admin.","divorced","professional.course","no","no","no","cellular","mar","thu",4,999,1,"failure",93.369,-34.8,5008.7,"yes"
"5091",25,"services","married","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"21722",52,"admin.","married","high.school","no","yes","no","cellular","aug","tue",4,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"17902",46,"technician","divorced","professional.course","no","no","no","telephone","jul","tue",4,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"37205",25,"technician","single","university.degree","no","yes","no","telephone","aug","thu",1,999,0,"nonexistent",92.201,-31.4,5076.2,"yes"
"17570",41,"admin.","married","high.school","no","no","no","cellular","jul","mon",8,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"35009",58,"admin.","married","basic.4y","no","no","no","cellular","may","fri",1,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"26114",36,"blue-collar","single","basic.9y","no","no","yes","telephone","nov","wed",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"6333",33,"admin.","divorced","high.school","no","yes","no","telephone","may","tue",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"29098",38,"technician","married","professional.course","no","no","no","cellular","apr","fri",1,999,2,"failure",93.075,-47.1,5099.1,"yes"
"10143",47,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"35234",21,"student","single","high.school","no","no","no","cellular","may","fri",3,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"8421",60,"retired","single","high.school","no","no","no","telephone","jun","tue",4,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"25662",58,"management","divorced","high.school","no","yes","no","cellular","nov","wed",1,999,1,"failure",93.2,-42,5195.8,"no"
"3482",46,"admin.","single","high.school","no","no","no","telephone","may","thu",4,999,0,"nonexistent",93.994,-36.4,5191,"no"
"21610",30,"technician","married","high.school","no","yes","yes","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"1233",44,"blue-collar","married","basic.6y","no","no","yes","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"39185",72,"retired","married","professional.course","no","no","no","cellular","mar","fri",1,3,1,"success",93.369,-34.8,5008.7,"yes"
"39261",27,"services","single","university.degree","no","yes","no","cellular","mar","fri",3,999,1,"failure",93.369,-34.8,5008.7,"yes"
"3126",32,"housemaid","married","basic.4y","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10514",50,"admin.","married","high.school","no","no","no","telephone","jun","tue",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"32966",44,"technician","married","professional.course","no","yes","no","cellular","may","mon",3,999,1,"failure",92.893,-46.2,5099.1,"no"
"21434",33,"admin.","married","high.school","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"7935",55,"blue-collar","married","basic.9y","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"2149",55,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"35252",41,"blue-collar","divorced","basic.4y","no","no","no","cellular","may","fri",5,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"15937",30,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","mon",5,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"23391",59,"retired","married","university.degree","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"14725",24,"admin.","single","high.school","no","no","no","telephone","jul","wed",6,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"2860",49,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"25202",55,"entrepreneur","married","university.degree","no","yes","yes","cellular","nov","tue",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"8419",58,"self-employed","married","university.degree","no","no","no","telephone","jun","tue",4,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"3942",44,"blue-collar","divorced","basic.9y","no","no","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"25814",39,"admin.","single","university.degree","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"20669",42,"unemployed","married","university.degree","no","no","yes","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"15711",32,"admin.","single","high.school","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"19784",45,"technician","married","high.school","no","yes","yes","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"36411",33,"admin.","single","university.degree","no","yes","no","cellular","jun","tue",1,999,0,"nonexistent",92.963,-40.8,5076.2,"yes"
"14340",31,"technician","married","high.school","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"25705",44,"admin.","single","university.degree","no","no","no","cellular","nov","wed",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"25318",39,"self-employed","married","university.degree","no","no","no","cellular","nov","tue",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"16667",29,"admin.","married","high.school","no","no","no","cellular","jul","wed",16,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"6558",42,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"18752",45,"blue-collar","married","basic.6y","no","no","yes","cellular","jul","thu",4,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"13438",48,"technician","single","professional.course","no","yes","yes","telephone","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"9428",25,"blue-collar","single","high.school","no","yes","no","telephone","jun","fri",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"20222",34,"technician","single","professional.course","no","no","no","cellular","aug","mon",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"28823",47,"entrepreneur","married","university.degree","no","yes","no","cellular","apr","thu",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"28119",49,"services","married","basic.6y","no","yes","no","cellular","apr","fri",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"29226",71,"retired","single","basic.9y","no","yes","no","cellular","apr","fri",3,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"39145",66,"retired","married","professional.course","no","no","no","cellular","mar","tue",1,999,1,"failure",93.369,-34.8,5008.7,"yes"
"34395",30,"blue-collar","married","basic.4y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"14132",33,"admin.","married","university.degree","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"38112",60,"self-employed","divorced","university.degree","no","no","no","cellular","sep","tue",1,3,1,"success",92.379,-29.8,5017.5,"yes"
"35973",31,"services","single","university.degree","no","no","no","cellular","may","mon",2,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"24865",31,"housemaid","married","university.degree","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"4080",35,"admin.","single","high.school","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"16602",39,"services","married","high.school","no","yes","no","cellular","jul","wed",4,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"34277",33,"admin.","married","professional.course","no","no","yes","cellular","may","thu",8,999,1,"failure",92.893,-46.2,5099.1,"no"
"21950",37,"technician","married","high.school","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"4113",34,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"20297",36,"technician","married","professional.course","no","no","no","cellular","aug","mon",3,999,0,"nonexistent",93.444,-36.1,5228.1,"yes"
"7351",28,"services","married","high.school","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",93.994,-36.4,5191,"no"
"34095",36,"admin.","single","university.degree","no","no","yes","cellular","may","wed",2,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"9768",38,"self-employed","married","university.degree","no","no","no","telephone","jun","mon",10,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"27279",47,"technician","married","high.school","no","yes","no","cellular","nov","fri",3,999,1,"failure",93.2,-42,5195.8,"no"
"29402",19,"student","single","high.school","no","yes","yes","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"24762",47,"unemployed","married","high.school","no","yes","no","cellular","nov","tue",1,999,1,"failure",93.2,-42,5195.8,"no"
"1463",55,"admin.","divorced","university.degree","no","yes","no","telephone","may","thu",4,999,0,"nonexistent",93.994,-36.4,5191,"no"
"11153",47,"management","married","basic.4y","no","no","yes","telephone","jun","thu",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"12850",30,"admin.","single","high.school","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"8567",32,"admin.","single","university.degree","no","no","yes","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"27942",28,"admin.","single","high.school","no","no","no","telephone","mar","fri",2,999,0,"nonexistent",92.843,-50,5099.1,"yes"
"2396",36,"admin.","married","high.school","no","no","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"2392",37,"services","married","high.school","no","no","no","telephone","may","tue",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"16169",48,"entrepreneur","single","university.degree","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"6643",50,"blue-collar","married","basic.6y","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10660",28,"entrepreneur","married","basic.9y","no","yes","no","telephone","jun","tue",1,999,0,"nonexistent",94.465,-41.8,5228.1,"yes"
"38211",38,"admin.","married","university.degree","no","yes","no","cellular","oct","wed",1,999,0,"nonexistent",92.431,-26.9,5017.5,"no"
"1298",34,"admin.","single","high.school","no","no","no","telephone","may","thu",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"23799",33,"technician","single","university.degree","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
